generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_damage,mean_gate_distance,success_rate,champion_id,elite_ids
180,380.76934814453125,376.12310791015625,334.6615295410156,644.0,1.0,0.0,2.0,7.0,19.6875,0.0,3,3 1
181,377.10498046875,372.2337341308594,331.77685546875,631.0,1.0,0.0,2.0,7.0,19.90625,0.0,3,3 2
182,386.5625915527344,381.719482421875,341.12664794921875,632.0,1.0,0.0,2.0,7.0,20.3125,0.0,3,3 2
183,403.86578369140625,401.3243408203125,360.26654052734375,638.4000244140625,1.0,0.0,2.0,7.0,18.75,0.0,3,3 4
184,396.7789611816406,392.99334716796875,352.6692810058594,629.0,1.0,0.0,2.0,7.0,20.5,0.0,3,3 1
185,419.0641174316406,414.5865783691406,372.95159912109375,650.0,1.0,0.0,2.0,7.0,19.0625,0.0,3,3 1
186,401.0076599121094,396.659912109375,355.0911560058594,646.2000122070312,1.0,0.0,2.0,7.0,18.40625,0.0,3,3 1
187,416.87841796875,412.8663024902344,371.29754638671875,646.2000122070312,1.0,0.0,2.0,7.0,18.53125,0.0,3,3 1
188,407.6170959472656,402.84759521484375,361.278564453125,646.2000122070312,1.0,0.0,2.0,7.0,18.375,0.0,3,3 2
189,408.0295715332031,404.30584716796875,363.1067810058594,638.7999877929688,1.0,0.0,2.0,7.0,18.71875,0.0,3,3 1
190,390.6023254394531,388.9158630371094,350.30035400390625,590.5999755859375,1.0,0.0,2.0,6.693749904632568,18.84375,0.0,3,3 4
191,415.1227722167969,411.6127014160156,370.240478515625,642.2000122070312,1.0,0.0,2.0,7.0,18.65625,0.0,3,3 1
192,416.2515563964844,411.2115783691406,369.4515686035156,650.0,1.0,0.0,2.0,7.0,19.28125,0.0,3,3 4
193,423.7972717285156,421.4039611816406,384.5848693847656,551.4000244140625,1.0,0.0,2.0,7.0,19.03125,0.0,4,4 2
194,425.4297790527344,420.586669921875,378.82666015625,650.0,1.0,0.0,2.0,7.0,19.53125,0.0,3,3 2
195,421.776611328125,417.62786865234375,376.0616149902344,646.2000122070312,1.0,0.0,2.0,7.0,19.1875,0.0,3,3 1
196,398.9913635253906,394.9028625488281,353.75787353515625,637.5999755859375,1.0,0.0,2.0,7.0,19.625,0.0,3,3 4
197,393.87567138671875,390.67498779296875,349.3027648925781,642.2000122070312,1.0,0.0,2.0,7.0,19.8125,0.0,3,3 1
198,408.7189636230469,405.60064697265625,364.2272033691406,642.2000122070312,1.0,0.0,2.0,7.0,19.5,0.0,3,3 1
199,405.560302734375,404.96002197265625,365.92254638671875,600.7999877929688,1.0,0.0,2.0,7.0,20.28125,0.0,1,1 4
200,379.6792907714844,374.836181640625,333.076171875,650.0,1.0,0.0,2.0,7.0,19.0,0.0,3,3 1
201,374.2298583984375,370.5562438964844,329.1990661621094,642.2000122070312,1.0,0.0,2.0,7.0,19.09375,0.0,3,3 4
202,379.5949401855469,374.554931640625,332.794921875,650.0,1.0,0.0,2.0,7.0,19.03125,0.0,3,3 4
203,365.5135192871094,360.8672790527344,319.1072692871094,650.0,1.0,0.0,2.0,7.0,18.96875,0.0,3,3 1
204,374.139892578125,369.4619140625,328.15313720703125,641.2000122070312,1.0,0.0,2.0,7.0,19.03125,0.0,3,3 4
205,384.5337829589844,379.80780029296875,338.2440490722656,645.7999877929688,1.0,0.0,2.0,7.0,19.21875,0.0,3,3 4
206,363.5597229003906,362.7325744628906,323.2156982421875,605.0,1.0,0.0,2.0,7.0,19.46875,0.0,3,3 1
207,362.82733154296875,357.90283203125,317.9134521484375,614.5999755859375,1.0,0.0,2.0,7.0,21.15625,0.0,3,3 2
208,387.9125671386719,382.87255859375,342.1781921386719,629.0,1.0,0.0,2.0,7.0,19.75,0.0,3,3 4
209,418.1866149902344,413.1466369628906,371.47100830078125,648.0,1.0,0.0,2.0,7.0,18.625,0.0,3,3 4
210,409.8333740234375,406.14202880859375,366.1651916503906,614.4000244140625,1.0,0.0,2.0,7.0,18.28125,0.0,3,3 2
211,420.78717041015625,419.09356689453125,378.51947021484375,626.2000122070312,1.0,0.0,2.0,7.0,18.53125,0.0,3,3 2
212,426.0760498046875,422.15283203125,380.58685302734375,646.2000122070312,1.0,0.0,2.0,7.0,18.34375,0.0,3,3 1
213,431.3154602050781,427.55072021484375,386.1776123046875,642.2000122070312,1.0,0.0,2.0,7.0,18.65625,0.0,3,3 4
214,411.1283874511719,407.029541015625,365.8495178222656,638.2000122070312,1.0,0.0,2.0,7.0,18.84375,0.0,3,3 4
215,397.6269836425781,395.2074279785156,354.98870849609375,619.0,1.0,0.0,2.0,7.0,18.71875,0.0,3,3 2
216,427.4241638183594,423.09423828125,381.5810546875,645.2000122070312,1.0,0.0,2.0,7.0,18.3125,0.0,3,3 1
