generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,success_rate,champion_id,elite_ids
1680,763.6821899414062,758.4679565429688,640.1598510742188,316.5562438964844,2.9375,0.0,3.75,3.75,1.84375,0.0,0.875,0.0,1.03125,33.91875076293945,31.375,1.0,1.9375,3.71875,3.71875,0.0,3,3 0
1681,668.9957885742188,663.8988037109375,557.8798217773438,294.7562561035156,2.71875,0.0,3.40625,3.40625,1.65625,0.0,0.75,0.0,1.0,30.381250381469727,31.9375,1.0,1.71875,3.3125,3.3125,0.0,3,3 2
1682,779.5735473632812,776.859130859375,658.4332885742188,310.875,2.9375,0.0,3.78125,3.78125,1.75,0.0,0.875,0.0,1.15625,35.45624923706055,32.90625,1.0,1.9375,3.53125,3.53125,0.0,3,3 0
1683,709.4558715820312,703.6761474609375,592.5628662109375,302.875,2.8125,0.0,3.53125,3.53125,1.65625,0.0,0.875,0.0,1.0,31.774999618530273,30.21875,1.0,1.8125,2.71875,2.71875,0.0,3,3 2
1684,737.58251953125,734.2420043945312,620.5166015625,310.40625,2.84375,0.0,3.6875,3.6875,1.78125,0.0,0.875,0.0,1.03125,33.431251525878906,28.6875,1.0,1.84375,2.78125,2.78125,0.0,3,3 1
1685,771.2131958007812,765.1393432617188,645.3941650390625,317.2875061035156,2.96875,0.0,3.8125,3.8125,1.78125,0.0,0.875,0.03125,1.125,33.01874923706055,35.90625,1.0,1.96875,3.125,3.125,0.0,3,3 4
1686,669.2169189453125,663.9810180664062,558.128662109375,293.54376220703125,2.71875,0.0,3.34375,3.34375,1.65625,0.0,0.6875,0.0,1.0,31.181249618530273,34.875,1.0,1.71875,3.71875,3.71875,0.0,3,3 1
1687,731.3461303710938,726.7448120117188,613.4166259765625,308.9937438964844,2.84375,0.0,3.59375,3.59375,1.71875,0.0,0.875,0.0,1.0,33.70000076293945,34.03125,1.0,1.84375,3.3125,3.3125,0.0,3,3 4
1688,606.4165649414062,601.1507568359375,503.7579040527344,277.375,2.5625,0.0,3.1875,3.1875,1.5,0.0,0.6875,0.0,1.0,28.606250762939453,35.40625,1.0,1.5625,3.3125,3.3125,0.0,3,3 2
1689,705.8602905273438,701.4930419921875,591.6403198242188,298.9375,2.78125,0.0,3.5625,3.5625,1.6875,0.0,0.875,0.0,1.0,32.462501525878906,31.84375,1.0,1.78125,4.625,4.625,0.0,3,3 1
1690,604.24267578125,599.6484375,505.361328125,283.5625,2.46875,0.0,3.28125,3.28125,1.4375,0.0,0.78125,0.03125,1.03125,29.424999237060547,27.59375,1.0,1.46875,2.875,2.875,0.0,3,3 1
1691,710.665283203125,706.2615356445312,595.5328979492188,305.33123779296875,2.78125,0.0,3.6875,3.6875,1.71875,0.0,0.9375,0.0,1.03125,32.775001525878906,31.71875,1.0,1.78125,2.71875,2.71875,0.0,3,3 0
1692,679.8175659179688,675.9779052734375,567.5869750976562,299.3687438964844,2.75,0.0,3.625,3.625,1.75,0.0,0.90625,0.0,0.96875,30.125,34.6875,1.0,1.75,3.625,3.625,0.0,3,3 1
1693,651.6259765625,645.6439208984375,542.1441650390625,290.8999938964844,2.65625,0.0,3.53125,3.53125,1.65625,0.0,0.875,0.0,1.0,29.262500762939453,32.78125,1.0,1.65625,3.09375,3.09375,0.0,3,3 0
1694,615.5843505859375,609.4144287109375,512.0927734375,274.1312561035156,2.5625,0.0,3.15625,3.15625,1.4375,0.0,0.6875,0.0,1.03125,29.806249618530273,35.375,1.0,1.5625,2.9375,2.9375,0.0,3,3 1
1695,616.663818359375,610.4447021484375,511.47735595703125,259.2250061035156,2.625,0.0,3.15625,3.15625,1.5625,0.0,0.6875,0.0,0.90625,28.506250381469727,40.0625,1.0,1.625,2.75,2.75,0.0,3,3 1
1696,603.9532470703125,598.3778686523438,501.55126953125,255.71875,2.59375,0.0,3.03125,3.03125,1.53125,0.0,0.5,0.0,1.0,27.65625,42.1875,1.0,1.59375,3.46875,3.46875,0.0,3,3 4
1697,514.0648193359375,507.66436767578125,423.68487548828125,231.22500610351562,2.34375,0.0,2.84375,2.84375,1.34375,0.0,0.5,0.0,1.0,25.587499618530273,38.78125,1.0,1.34375,1.6875,1.6875,0.0,3,3 1
1698,583.5046997070312,578.1624755859375,482.8573303222656,254.375,2.5625,0.0,3.03125,3.03125,1.46875,0.0,0.5625,0.0,1.0,26.868749618530273,37.09375,1.0,1.5625,2.3125,2.3125,0.0,3,3 2
1699,565.9557495117188,560.5197143554688,468.31109619140625,251.3874969482422,2.5,0.0,2.9375,2.9375,1.40625,0.0,0.53125,0.0,1.0,27.162500381469727,39.59375,1.0,1.5,2.15625,2.15625,0.0,3,3 1
1700,590.0287475585938,584.6889038085938,488.83038330078125,257.40625,2.5625,0.0,3.09375,3.09375,1.5625,0.0,0.53125,0.0,1.0,27.712499618530273,41.4375,1.0,1.5625,2.5625,2.5625,0.0,3,3 2
1701,605.376220703125,601.4517822265625,502.9754333496094,273.0874938964844,2.59375,0.0,3.1875,3.1875,1.59375,0.0,0.59375,0.0,1.0,28.524999618530273,42.65625,1.0,1.59375,2.125,2.125,0.0,3,3 2
1702,536.4911499023438,530.3768310546875,442.65789794921875,253.1125030517578,2.40625,0.0,2.8125,2.8125,1.3125,0.0,0.5,0.0,1.0,26.393749237060547,42.84375,1.0,1.40625,1.8125,1.8125,0.0,3,3 2
1703,475.021728515625,470.03839111328125,392.33221435546875,228.81875610351562,2.21875,0.0,2.65625,2.65625,1.15625,0.0,0.5,0.0,1.0,24.737499237060547,36.21875,1.25,1.21875,2.71875,2.71875,0.0,3,3 4
1704,435.3619079589844,430.28857421875,357.55059814453125,209.0437469482422,2.15625,0.0,2.375,2.375,1.0625,0.0,0.3125,0.0,1.0,23.462499618530273,39.3125,1.0,1.15625,1.875,1.875,0.0,3,3 4
