generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,mean_boss_damage,mean_boss_hits,mean_boss_health_remaining,mean_floor5_entry_alive,mean_floor5_entry_power_score,mean_alive_attack_bonus,mean_alive_range_bonus,mean_powered_agent_deaths,mean_miniboss_defeated,success_rate,champion_id,elite_ids
1116,8907.2294921875,6492.56591796875,5732.42333984375,406.65313720703125,9.828125,0.96875,16.453125,32.859375,9.703125,5.703125,5.859375,1.875,9.71875,168.6046905517578,43.6875,2.0,8.828125,89.5,35.640625,74.5640640258789,3.4281249046325684,71.2421875,4.984375,24.9375,0.1640625,0.0062500000931322575,0.984375,0.96875,0.0,3,3 2
1117,8489.52734375,6232.0068359375,5495.32275390625,402.11248779296875,9.5625,0.9375,16.0625,32.109375,9.515625,5.484375,5.6875,1.875,9.546875,159.70156860351562,41.03125,1.984375,8.5625,75.703125,30.4375,68.0687484741211,3.200000047683716,85.90625,4.90625,24.4453125,0.234375,0.00390625,1.03125,0.9375,0.0,3,3 1
1118,8786.044921875,6433.666015625,5678.33935546875,399.40625,9.765625,0.96875,16.46875,32.921875,9.71875,5.6875,5.84375,1.90625,9.765625,163.72030639648438,43.046875,2.0,8.765625,68.296875,23.96875,72.5531234741211,3.3812499046325684,74.109375,4.921875,24.609375,0.283203125,0.0,1.0,0.96875,0.0,3,3 2
1119,8901.697265625,6539.21484375,5771.10791015625,408.4125061035156,9.875,1.0,16.671875,33.296875,9.796875,5.859375,5.90625,2.0,9.734375,166.72811889648438,44.109375,2.0,8.875,60.25,21.78125,72.5531234741211,3.4437499046325684,86.609375,5.0,25.0,0.380859375,0.01875000074505806,0.984375,0.984375,0.0,3,3 1
1120,8604.8408203125,6304.9248046875,5552.97607421875,391.2749938964844,9.609375,1.015625,16.171875,32.34375,9.5625,5.53125,5.71875,1.90625,9.625,160.0203094482422,40.84375,1.96875,8.609375,50.984375,17.046875,71.3062515258789,3.3375000953674316,71.59375,4.96875,24.875,0.6627604365348816,0.09062500298023224,0.90625,0.9375,0.0,3,3 2
1121,8927.1669921875,6549.44677734375,5782.94921875,403.84686279296875,9.890625,0.984375,16.75,33.5,9.859375,5.875,5.90625,1.984375,9.875,166.36093139648438,44.21875,2.0,8.890625,53.765625,18.765625,73.5546875,3.46875,81.6015625,4.984375,25.0,0.2962239682674408,0.0,1.0,0.984375,0.0,3,3 2
1122,8880.1982421875,6478.29345703125,5713.4521484375,403.34686279296875,9.78125,1.015625,16.46875,32.921875,9.75,5.71875,5.796875,1.921875,9.734375,169.046875,43.546875,2.0,8.78125,45.546875,14.109375,76.43437194824219,3.534374952316284,54.703125,4.921875,24.546875,0.400390625,0.03750000149011612,0.984375,0.96875,0.0,3,3 1
1123,8933.1005859375,6512.0830078125,5742.88427734375,405.4906311035156,9.8125,1.03125,16.53125,33.0625,9.734375,5.796875,5.828125,1.96875,9.734375,167.8953094482422,43.21875,2.0,8.8125,55.515625,19.453125,76.2406234741211,3.5093750953674316,60.984375,4.921875,24.609375,0.3515625,0.03750000149011612,0.984375,0.96875,0.0,3,3 2
1124,8771.361328125,6392.2216796875,5639.8505859375,396.8062438964844,9.71875,0.96875,16.375,32.75,9.671875,5.671875,5.828125,1.90625,9.671875,164.3984375,45.421875,2.0,8.71875,44.71875,16.34375,74.73905944824219,3.4281249046325684,59.7421875,4.984375,25.0,0.2239583283662796,0.00937500037252903,1.0,0.96875,0.0,3,3 1
1125,8773.427734375,6408.8359375,5655.33056640625,399.2406311035156,9.734375,0.96875,16.40625,32.796875,9.671875,5.65625,5.828125,1.90625,9.734375,164.7421875,44.921875,1.984375,8.734375,44.875,17.890625,73.7015609741211,3.4468750953674316,68.3671875,4.90625,24.546875,0.2955729067325592,0.00937500037252903,0.984375,0.96875,0.0,3,3 2
